EuroSAT, seed 1, 1 shot, weight 100000.0, test_acc 48.53
EuroSAT, seed 1, 1 shot, weight 100000.0, test_acc 48.53
EuroSAT, seed 1, 1 shot, weight 100000.0, test_acc 48.53
EuroSAT, seed 1, 1 shot, weight 100000.0, test_acc 48.53
EuroSAT, seed 1, 1 shot, weight 100000.0, test_acc 48.53
EuroSAT, seed 1, 1 shot, weight 100000.0, test_acc 48.53
EuroSAT, seed 1, 1 shot, weight 100000.0, test_acc 48.53
EuroSAT, seed 1, 1 shot, weight 100000.0, test_acc 48.53
EuroSAT, seed 2, 1 shot, weight 100000.0, test_acc 53.65
EuroSAT, seed 2, 1 shot, weight 100000.0, test_acc 53.65
EuroSAT, seed 2, 1 shot, weight 100000.0, test_acc 53.65
EuroSAT, seed 2, 1 shot, weight 100000.0, test_acc 53.65
EuroSAT, seed 2, 1 shot, weight 100000.0, test_acc 53.65
EuroSAT, seed 2, 1 shot, weight 100000.0, test_acc 53.65
EuroSAT, seed 2, 1 shot, weight 100000.0, test_acc 53.65
EuroSAT, seed 2, 1 shot, weight 100000.0, test_acc 53.65
EuroSAT, seed 3, 1 shot, weight 0.1, test_acc 42.88
EuroSAT, seed 3, 1 shot, weight 0.1, test_acc 42.88
EuroSAT, seed 3, 1 shot, weight 0.1, test_acc 42.88
EuroSAT, seed 3, 1 shot, weight 0.1, test_acc 42.88
EuroSAT, seed 3, 1 shot, weight 0.1, test_acc 42.88
EuroSAT, seed 3, 1 shot, weight 0.1, test_acc 42.88
EuroSAT, seed 3, 1 shot, weight 0.1, test_acc 42.88
EuroSAT, seed 3, 1 shot, weight 0.1, test_acc 42.88
EuroSAT, seed 1, 2 shot, weight 1000.0, test_acc 59.37
EuroSAT, seed 1, 2 shot, weight 1000.0, test_acc 59.37
EuroSAT, seed 1, 2 shot, weight 1000.0, test_acc 59.37
EuroSAT, seed 1, 2 shot, weight 1000.0, test_acc 59.37
EuroSAT, seed 1, 2 shot, weight 1000.0, test_acc 59.37
EuroSAT, seed 1, 2 shot, weight 1000.0, test_acc 59.37
EuroSAT, seed 1, 2 shot, weight 1000.0, test_acc 59.37
EuroSAT, seed 1, 2 shot, weight 1000.0, test_acc 59.37
EuroSAT, seed 2, 2 shot, weight 100000.0, test_acc 63.80
EuroSAT, seed 2, 2 shot, weight 10000.0, test_acc 66.21
